Date,DateValue,Open,High,Low,Close,Adj Close,Volume
2010-07-07,40366,380.700012,383.700012,374.475006,382.299988,312.478699,2152934.0
2010-07-08,40367,386.0,389.5,384.825012,388.399994,317.464722,2187564.0
2010-07-09,40368,390.0,392.0,385.375,387.225006,316.504333,1836666.0
2010-07-12,40371,389.899994,397.0,389.899994,395.850006,323.554077,2725776.0
2010-07-13,40372,396.0,396.0,384.774994,387.325012,316.585938,5545886.0
2010-07-14,40373,389.0,392.350006,385.125,387.325012,316.585938,2833842.0
2010-07-15,40374,385.5,392.450012,382.625,391.049988,319.630676,3795536.0
2010-07-16,40375,397.5,419.25,397.5,416.825012,340.698364,19135452.0
2010-07-19,40378,415.725006,417.350006,411.625,413.350006,337.85791,3027924.0
2010-07-20,40379,413.350006,417.274994,412.5,413.625,338.082672,2342062.0
2010-07-21,40380,416.0,422.399994,414.799988,421.5,344.51947,2943720.0
2010-07-22,40381,421.5,423.0,416.25,421.850006,344.805603,1362882.0
2010-07-23,40382,425.0,425.0,417.549988,419.649994,343.007294,1894472.0
2010-07-26,40385,421.200012,425.799988,420.200012,424.625,347.073669,2766490.0
2010-07-27,40386,427.5,429.899994,423.100006,424.575012,347.032898,2106602.0
2010-07-28,40387,425.5,428.975006,423.5,427.225006,349.198883,4359228.0
2010-07-29,40388,427.5,427.5,424.5,425.0,348.195221,5331904.0
2010-07-30,40389,424.5,425.0,417.5,419.899994,344.016937,1283426.0
2010-08-02,40392,421.5,424.225006,418.5,419.149994,343.402466,2827762.0
2010-08-03,40393,420.5,422.25,414.274994,416.024994,340.842224,1281552.0
2010-08-04,40394,418.0,436.0,417.924988,434.399994,355.896454,5583934.0
2010-08-05,40395,436.0,441.200012,432.825012,438.924988,359.603851,2912950.0
2010-08-06,40396,440.0,441.75,430.325012,432.350006,354.216949,2437734.0
2010-08-09,40399,430.575012,441.850006,423.049988,439.924988,360.422974,4259986.0
2010-08-10,40400,442.5,442.5,430.700012,432.25,354.134979,1545194.0
2010-08-11,40401,431.0,436.5,427.399994,429.075012,351.533813,4020248.0
2010-08-12,40402,428.450012,428.450012,423.100006,426.725006,349.608643,2278092.0
2010-08-13,40403,428.5,431.450012,419.0,427.200012,349.997681,2589906.0
2010-08-16,40406,428.5,431.274994,424.399994,427.049988,349.874725,1319098.0
2010-08-17,40407,425.049988,430.5,422.0,425.100006,348.277161,1733196.0
2010-08-18,40408,426.5,437.899994,425.0,435.549988,356.838654,2888916.0
2010-08-19,40409,437.0,440.450012,433.649994,436.024994,357.227814,2148534.0
2010-08-20,40410,434.5,439.950012,431.5,434.475006,355.957916,1746396.0
2010-08-23,40413,430.0,437.725006,428.524994,435.200012,356.55188,1049830.0
2010-08-24,40414,435.0,440.950012,432.5,435.350006,356.674774,2650474.0
2010-08-25,40415,436.0,440.75,433.149994,435.600006,356.879669,2379968.0
2010-08-26,40416,437.0,439.5,430.125,438.25,359.050659,4204428.0
2010-08-27,40417,436.049988,436.5,425.5,428.024994,350.673553,1276514.0
2010-08-30,40420,431.399994,431.399994,420.049988,422.825012,346.413361,1558570.0
2010-08-31,40421,420.0,423.850006,415.100006,421.875,345.63501,2447874.0
2010-09-01,40422,421.0,430.5,420.0,429.200012,351.636292,2745484.0
2010-09-02,40423,433.75,433.75,420.75,422.049988,345.778381,2758800.0
2010-09-03,40424,425.0,425.75,417.549988,418.649994,342.992676,2777970.0
2010-09-06,40427,419.0,428.75,419.0,427.674988,350.386902,2287978.0
2010-09-07,40428,429.0,437.450012,428.0,435.674988,356.94104,2484236.0
